"module_code","group_code","semester_code","week","date","start","end","location_code","teaching_mode"
"YHU3274","E1","AY2021-1",9,2020-10-05,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",10,2020-10-12,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",11,2020-10-19,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",12,2020-10-26,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",13,2020-11-02,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",14,2020-11-09,"14:30","16:00","Y-CR16","F2F"
"YHU4104","E1","AY2021-1",1,2020-08-12,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",2,2020-08-19,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",3,2020-08-26,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",4,2020-09-02,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",5,2020-09-09,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",6,2020-09-16,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",8,2020-09-30,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",9,2020-10-07,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",10,2020-10-14,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",11,2020-10-21,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",12,2020-10-28,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",13,2020-11-04,"13:00","15:00","TP-GLR","F2F"
"YHU4104","E1","AY2021-1",14,2020-11-11,"13:00","15:00","TP-GLR","F2F"
"YHU3274","E1","AY2021-1",1,2020-08-13,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",2,2020-08-20,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",3,2020-08-27,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",4,2020-09-03,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",5,2020-09-10,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",6,2020-09-17,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",8,2020-10-01,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",9,2020-10-08,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",10,2020-10-15,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",11,2020-10-22,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",12,2020-10-29,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",13,2020-11-05,"14:30","16:00","Y-CR16","F2F"
"YHU3274","E1","AY2021-1",14,2020-11-12,"14:30","16:00","Y-CR16","F2F"
"YID2207","E1","AY2021-1",1,2020-08-15,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",2,2020-08-22,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",3,2020-08-29,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",4,2020-09-05,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",5,2020-09-12,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",6,2020-09-19,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",8,2020-10-03,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",9,2020-10-10,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",10,2020-10-17,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",11,2020-10-24,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",12,2020-10-31,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",13,2020-11-07,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",14,2020-11-14,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",1,2020-08-13,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",2,2020-08-20,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",3,2020-08-27,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",4,2020-09-03,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",5,2020-09-10,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",6,2020-09-17,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",8,2020-10-01,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",9,2020-10-08,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",10,2020-10-15,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",11,2020-10-22,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",12,2020-10-29,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",13,2020-11-05,"14:30","16:00","Y-LT1","F2F"
"YID2207","E1","AY2021-1",14,2020-11-12,"14:30","16:00","Y-LT1","F2F"
"YID3211","E1","AY2021-1",1,2020-08-10,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",2,2020-08-17,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",3,2020-08-24,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",4,2020-08-31,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",5,2020-09-07,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",6,2020-09-14,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",8,2020-09-28,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",9,2020-10-05,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",10,2020-10-12,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",11,2020-10-19,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",12,2020-10-26,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",13,2020-11-02,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",14,2020-11-09,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",1,2020-08-13,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",2,2020-08-20,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",3,2020-08-27,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",4,2020-09-03,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",5,2020-09-10,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",6,2020-09-17,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",8,2020-10-01,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",9,2020-10-08,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",10,2020-10-15,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",11,2020-10-22,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",12,2020-10-29,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",13,2020-11-05,"19:30","21:00","Y-GLRm1","F2F"
"YID3211","E1","AY2021-1",14,2020-11-12,"19:30","21:00","Y-GLRm1","F2F"
"YHU2307","E1","AY2021-1",1,2020-08-13,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",2,2020-08-20,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",3,2020-08-27,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",4,2020-09-03,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",5,2020-09-10,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",6,2020-09-17,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",8,2020-10-01,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",9,2020-10-08,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",10,2020-10-15,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",11,2020-10-22,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",12,2020-10-29,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",13,2020-11-05,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",14,2020-11-12,"19:30","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",1,2020-08-11,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",2,2020-08-18,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",3,2020-08-25,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",4,2020-09-01,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",5,2020-09-08,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",6,2020-09-15,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",8,2020-09-29,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",9,2020-10-06,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",10,2020-10-13,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",11,2020-10-20,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",12,2020-10-27,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",13,2020-11-03,"18:00","21:00",NA,"REMOTE"
"YHU3314","E1","AY2021-1",14,2020-11-10,"18:00","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",1,2020-08-10,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",2,2020-08-17,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",3,2020-08-24,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",4,2020-08-31,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",5,2020-09-07,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",6,2020-09-14,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",8,2020-09-28,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",9,2020-10-05,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",10,2020-10-12,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",11,2020-10-19,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",12,2020-10-26,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",13,2020-11-02,"19:30","21:00",NA,"REMOTE"
"YHU2307","E1","AY2021-1",14,2020-11-09,"19:30","21:00",NA,"REMOTE"
"YID2208","E1","AY2021-1",1,2020-08-10,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",2,2020-08-17,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",3,2020-08-24,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",4,2020-08-31,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",5,2020-09-07,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",6,2020-09-14,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",8,2020-09-28,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",9,2020-10-05,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",10,2020-10-12,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",11,2020-10-19,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",12,2020-10-26,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",13,2020-11-02,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",14,2020-11-09,"16:00","17:30","Y-TCTLT","REMOTE"
"YID3220","E1","AY2021-1",1,2020-08-13,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",2,2020-08-20,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",3,2020-08-27,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",4,2020-09-03,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",5,2020-09-10,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",6,2020-09-17,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",8,2020-10-01,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",9,2020-10-08,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",10,2020-10-15,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",11,2020-10-22,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",12,2020-10-29,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",13,2020-11-05,"13:00","14:30","Y-CR16","REMOTE"
"YID3220","E1","AY2021-1",14,2020-11-12,"13:00","14:30","Y-CR16","REMOTE"
"YID2208","E1","AY2021-1",1,2020-08-13,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",2,2020-08-20,"16:00","17:30","Y-TCTLT","REMOTE"
"YID2208","E1","AY2021-1",3,2020-08-27,"16:00","17:30","Y-TCTLT","REMOTE"
