"faculty_id","module_code","group_code","semester_code","teaching_mode"
"ynckeng","YSS4240","E1","AY2021-1","REMOTE"
"ynczv","YSS3231","E1","AY2021-1","F2F"
"ynczv","YSS3231","E2","AY2021-1","F2F"
"ynczc","YSS2220","E1","AY2021-1","F2F"
"yncjmj","YSS2220","E2","AY2021-1","F2F"
"yncjds","YSS3218","E1","AY2021-1","F2F"
"ynczv","YSS3246","E1","AY2021-1","F2F"
"yncjmj","YSS3282","E1","AY2021-1","F2F"
"ynccjad","YSS3297","E1","AY2021-1","F2F"
"yncjmj","YSS4105","E1","AY2021-1","F2F"
"ynccbh","YSS4220","E1","AY2021-1","F2F"
