"module_code","group_code","semester_code","weeks","day","start","end","location_code","area"
"YHU3335","E1","AY2021-1","1-6, 8-14",1,"10:30","12:00",NA,NA
"YHU3335","E1","AY2021-1","1-6, 8-14",4,"10:30","12:00",NA,NA
"YHU4103","E1","AY2021-1","1-6, 8-14",3,"12:30","15:30","Y-PgRm1","YNC"
"YSC1213","E1","AY2021-1","1-6, 8-14",2,"10:30","12:30","Y-CR15","YNC"
"YSC1213","E1","AY2021-1","1-6, 8-14",4,"10:30","12:30","Y-CR15","YNC"
"YSC2225","E1","AY2021-1","1-6, 8-14",2,"16:00","17:30","Y-CR1","YNC"
"YSC2225","E1","AY2021-1","1-6, 8-14",4,"13:00","16:00","Y-OChemLab","YNC"
"YSC2225","E1","AY2021-1","1-6, 8-14",5,"16:00","17:30","Y-CR1","YNC"
"YSC2248","E1","AY2021-1","1-6, 8-14",1,"13:00","14:30","Y-CR14","YNC"
"YSC2248","E1","AY2021-1","1-6, 8-14",2,"13:00","16:00","Y-OChemLab","YNC"
"YSC2248","E1","AY2021-1","1-6, 8-14",4,"13:00","14:30","Y-CR14","YNC"
"YSC3210","E1","AY2021-1","1-6, 8-14",1,"16:00","17:30","Y-CR7","YNC"
"YSC3210","E1","AY2021-1","1-6, 8-14",4,"16:00","17:30","Y-CR7","YNC"
"YSC3211","E1","AY2021-1","1-6, 8-14",1,"8:30","10:30",NA,NA
"YSC3211","E1","AY2021-1","1-6, 8-14",4,"8:30","10:30",NA,NA
"YSC4209","E1","AY2021-1","1-6, 8-14",3,"13:00","14:30","Y-CR16","YNC"
"YSC1221","E1","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-PhysLab","YNC"
"YSC1221","E1","AY2021-1","1-6, 8-14",5,"9:00","10:30","Y-PhysLab","YNC"
"YSS1206","E1","AY2021-1","1-6, 8-14",2,"13:00","14:30","Y-TCTLT","YNC"
"YSS1206","E1","AY2021-1","1-6, 8-14",5,"13:00","14:30","Y-TCTLT","YNC"
"YSS3241","E1","AY2021-1","1-6, 8-14",1,"16:00","17:30","UTERC-NAK AUD","UTown"
"YSS3241","E1","AY2021-1","1-6, 8-14",4,"16:00","17:30","UTERC-NAK AUD","UTown"
