"module_code","group_code","semester_code","weeks","day","start","end","location_code","teaching_mode"
"YSS3309","E1","AY2021-2","1-6, 8-14",2,"13:00","14:30","Y-Blackbox","F2F"
"YSS3309","E1","AY2021-2","1-6, 8-14",5,"13:00","14:30","Y-Blackbox","F2F"
"YSS3320","E1","AY2021-2","1-6, 8-14",1,"13:00","14:30","Y-PgRm1","F2F"
"YSS3320","E1","AY2021-2","1-6, 8-14",4,"13:00","14:30","Y-PgRm1","F2F"
"YSS4235","E1","AY2021-2","1-6, 8-14",1,"9:00","10:30","SRC-LT51","F2F"
"YSS4235","E1","AY2021-2","1-6, 8-14",4,"9:00","10:30","SRC-GLR","F2F"
"YSS4250","E1","AY2021-2","1-6, 8-14",2,"9:00","10:30",NA,"REMOTE"
"YSS4250","E1","AY2021-2","1-6, 8-14",5,"9:00","10:30",NA,"REMOTE"
"YSS4261","E1","AY2021-2","1-6, 8-14",2,"18:00","19:30","Y-LT1","F2F"
"YSS4261","E1","AY2021-2","1-6, 8-14",5,"18:00","19:30","Y-LT1","F2F"
"YHU2203","E1","AY2021-2","1-6, 8-14",2,"14:30","16:00","SRC-LT52","F2F"
"YHU2203","E1","AY2021-2","1-6, 8-14",5,"14:30","16:00","SRC-LT52","F2F"
"YHU2222","E1","AY2021-2","1-6, 8-14",3,"14:30","17:30","Y-LT1","F2F"
"YHU2223","E1","AY2021-2","1-6, 8-14",3,"9:00","13:00","Y-Arts Stud","F2F"
"YHU2291","E1","AY2021-2","1-6, 8-14",4,"9:00","12:00","SRC-LT53","F2F"
"YHU2300","E1","AY2021-2","1-6, 8-14",1,"13:00","14:30","SRC-GLR","F2F"
"YHU2300","E1","AY2021-2","1-6, 8-14",4,"13:00","14:30","SRC-GLR","F2F"
"YHU2310","E1","AY2021-2","1-6, 8-14",1,"18:00","19:30","Y-CompLab","F2F"
"YHU2310","E1","AY2021-2","1-6, 8-14",4,"18:00","19:30","Y-CompLab","F2F"
"YHU3288","E1","AY2021-2","1-6, 8-14",4,"14:30","17:30","Y-Arts Stud","F2F"
"YHU3292","E1","AY2021-2","1-6, 8-14",5,"13:00","16:00","Y-Arts Stud 2","F2F"
"YHU3341","E1","AY2021-2","1-6, 8-14",1,"16:00","17:30","ERC-SR10","F2F"
"YHU3341","E1","AY2021-2","1-6, 8-14",4,"16:00","17:30","ERC-SR10","F2F"
"YHU3342","E1","AY2021-2","1-6, 8-14",3,"10:30","12:00","Y-Blackbox","F2F"
"YHU3342","E1","AY2021-2","1-6, 8-14",5,"10:30","12:00","Y-Blackbox","F2F"
"YHU3344","E1","AY2021-2","1-6, 8-14",1,"14:30","16:00","Y-Blackbox","F2F"
"YHU3344","E1","AY2021-2","1-6, 8-14",4,"14:30","16:00","Y-Blackbox","F2F"
"YHU3347","E1","AY2021-2","1-6, 8-14",6,"9:00","12:00","Y-CompLab","F2F"
"YHU4104","E1","AY2021-2","1-6, 8-14",3,"13:00","15:00","Y-KChanrai","F2F"
"YHU4214","E1","AY2021-2","1-6, 8-14",1,"9:00","12:00","Y-PgRm2","F2F"
"YHU4215","E1","AY2021-2","1-6, 8-14",3,"18:00","21:00","Y-PgRm2","F2F"
"YHU4216","E1","AY2021-2","1-6, 8-14",2,"18:00","21:00","Y-PgRm1","F2F"
"YHU4243","E1","AY2021-2","1-6, 8-14",5,"9:00","12:00","Y-Arts Stud","F2F"
"YHU4251","E1","AY2021-2","1-6, 8-14",4,"9:00","12:00","Y-CompLab","F2F"
"YSS1203","E1","AY2021-2","1-6, 8-14",2,"16:00","17:30","SRC-LT51","F2F"
"YSS1203","E1","AY2021-2","1-6, 8-14",5,"16:00","17:30","SRC-LT51","F2F"
"YSS1205","E1","AY2021-2","1-6, 8-14",2,"14:30","16:00",NA,"REMOTE"
"YSS1205","E1","AY2021-2","1-6, 8-14",5,"14:30","16:00",NA,"REMOTE"
"YSS2203","E1","AY2021-2","1-6, 8-14",1,"14:30","16:00",NA,"REMOTE"
"YSS2203","E1","AY2021-2","1-6, 8-14",4,"14:30","16:00",NA,"REMOTE"
"YSS2203","E2","AY2021-2","1-6, 8-14",1,"16:00","17:30",NA,"REMOTE"
"YSS2203","E2","AY2021-2","1-6, 8-14",4,"16:00","17:30",NA,"REMOTE"
"YSS2211","E1A","AY2021-2","1-6, 8-14",2,"12:00","13:00","Y-CompLab","F2F"
"YSS2211","E1A","AY2021-2","1-6, 8-14",2,"13:00","14:30","Y-PerfHall","F2F"
