"faculty_id","module_code","group_code","semester_code","teaching_mode"
"yncoba","YSC2251","E1","AY2021-2","F2F"
"yncpvk","YSS1206","E1","AY2021-2","F2F"
"ynctch","YSS2208","E1","AY2021-2","REMOTE"
"ynckoht","YSS2239","E1","AY2021-2","F2F"
"yncele","YSS2243","E1","AY2021-2","F2F"
"ynctch","YSS3263","E1","AY2021-2","REMOTE"
"yncpvk","YSS3302","E1","AY2021-2","F2F"
"T0000016932","YSS3305","E1","AY2021-2","F2F"
"T0000016572","YSS3310","E1","AY2021-2","F2F"
"yncgbw","YSS3314","E1","AY2021-2","F2F"
"yncosm","YSS4224","E1","AY2021-2","F2F"
"ynclcjj","YSS2201","E1","AY2021-2","F2F"
"ynclcjj","YSS2201","E2","AY2021-2","F2F"
"T0000016936","YSS2216","E1","AY2021-2","F2F"
"ynccla","YSS3215","E1","AY2021-2","F2F"
"yncopa","YSS3278","E1","AY2021-2","F2F"
"yncopa","YSS3279","E1","AY2021-2","F2F"
"T0000016937","YSS3317","E1","AY2021-2","F2F"
"yncvyt","YSS4102","E1","AY2021-2","F2F"
"T0000016938","YSS4263","E1","AY2021-2","F2F"
"T0000016939","YSS4264","E1","AY2021-2","F2F"
"yncslm","YSS3231","E1","AY2021-2","F2F"
"yncslm","YSS3231","E2","AY2021-2","F2F"
"ynczc","YSS2220","E1A","AY2021-2","F2F"
"yncjds","YSS2220","E1B","AY2021-2","F2F"
"yncvcr","YSS3222","E1","AY2021-2","F2F"
"ynccjad","YSS3235","E1","AY2021-2","F2F"
"ynczc","YSS3273","E1","AY2021-2","F2F"
"ynccbh","YSS3274","E1","AY2021-2","F2F"
"ynczv","YSS3284","E1","AY2021-2","F2F"
"yncvcr","YSS4247","E1","AY2021-2","F2F"
